시군명,지점명,도로명주소,지번주소,위도,경도
연천군,연천 공설운동장,경기도 연천군 연천읍 문화로 150,경기도 연천군 연천읍 옥산리 320,38.1071229200,127.0797748000
연천군,은대리성 터,,경기도 연천군 전곡읍 은대리 577,38.0242253200,127.0596669000
연천군,연천5사단 의무대,,경기도 연천군 전곡읍 은대리 423-5,38.0470589800,127.0681947000
오산시,오산천,,경기도 오산시 은계동 88번지 (종합운동장 뒤편 오산천 둔치),37.1582514700,127.0725896000
오산시,오산종합운동장,경기도 오산시 경기동로 15,경기도 오산시 오산동 49번지,37.1568594200,127.0726136000
오산시,죽미다목적운동장,,경기도 오산시 세교동 619,37.1809134900,127.0458692000
용인시,모현레스피아,경기도 용인시 처인구 모현읍 문현로357번길 107,경기도 용인시 처인구 모현읍 일산리 38-22번지,37.3461447000,127.2478376000
용인시,용동중학교,경기도 용인시 처인구 양지면 남곡로 26,경기도 용인시 처인구 양지면 남곡리 164-1번지,37.2315093200,127.2829676000
용인시,아르피아 종합운동장,경기도 용인시 수지구 포은대로 499,경기도 용인시 수지구 죽전동 1003-43번지,37.3258701900,127.1059038000
용인시,백암중학교,경기도 용인시 처인구 백암면 백원로 519-9,경기도 용인시 처인구 백암면 근창리 166,37.1649578100,127.3685792000
용인시,용인 육군비행장(G501),경기도 용인시 처인구 포곡읍 옥현로65번길 268-14,경기도 용인시 처인구 포곡읍 전대리 65-1,37.2835738600,127.2262328000
용인시,용인 미르스타디움(보조경기장),,경기도 용인시 처인구 삼가동 42-1,37.2476703100,127.1639838000
용인시,경부고속도로 기흥 IC,경기도 용인시 기흥구 기흥단지로 7,,37.2220010500,127.1025692000
용인시,용인SK에코플랜트,경기도 용인시 처인구 보개원삼로 1806번길 35,경기도 용인시 처인구 원삼면 독성리 산 133-11,37.1539739600,127.3173575000
의왕시,내손체육공원,경기도 의왕시 내손공원길 39,경기도 의왕시 내손동 666번지,37.3872864900,126.9831857000
의왕시,고천체육공원,경기도 의왕시 오전로 18,경기도 의왕시 왕곡동 270-2번지,37.3461793400,126.9821918000
의왕시,부곡체육공원,경기도 의왕시 부곡공원길 6,경기도 의왕시 월암동 421,37.3146342300,126.9587538000
의정부시,의정부 을지대병원,,경기도 의정부시 금오동 439-39,37.7519311900,127.0507323000
의정부시,경기북부지방경찰청,경기도 의정부시 금오로23번길 22-49,경기도 의정부시 금오동 481번지,37.7574315200,127.0702833000
의정부시,의정부성모병원,경기도 의정부시 천보로 271,경기도 의정부시 금오동 65-1번지,37.7585227100,127.0779287000
의정부시,벨로드롬경기장옆야구장,경기도 의정부시 체육로 90,경기도 의정부시 녹양동 174-1번지,37.7579240700,127.0316023000
이천시,건국대과학스포츠타운,,경기도 이천시 대월면 대대리 110-1,37.2260863700,127.4847129000
이천시,이천 육군비행장(G510),,경기도 이천시 대포동 537,37.2016469900,127.4605990000
이천시,이천마장레포츠공원,,경기도 이천시 마장면 이치리 산73-1,37.2525210400,127.3780262000
이천시,이천시(부발)종합운동장,경기도 이천시 부발읍 중부대로 1696,경기도 이천시 부발읍 무촌리 52번지,37.2857923500,127.4966608000
이천시,장호원 체육공원,경기도 이천시 장호원읍 서동대로8759번길 97-56,경기도 이천시 장호원읍 장호원리 331-2번지,37.1197983400,127.6122177000
이천시,모가중학교,경기도 이천시 모가면 진상미로1385번길 114,경기도 이천시 모가면 진가리 227-1번지,37.1766018800,127.4733806000
이천시,이천 복하천 헬기장,,경기도 이천시 부발읍 신하리 57-9번지 외10필지,37.2665764000,127.4625474000
이천시,경기동부 원예농협 유통센터(이천복숭아연구소),경기도 이천시 장호원읍 서동대로8759번길 117,경기도 이천시 장호원읍 장호원리 332-4,37.1180856100,127.6122377000
이천시,육군특수전사령부,,경기도 이천시 마장면 회억리 산46,37.2673133900,127.3715025000
이천시,육군제7276부대(제7기동군단),,경기도 이천시 장호원 이황리 414-19,37.2737660000,127.3704695000
이천시,SK하이닉스 축구장,경기도 이천시 부발읍 경충대로 2091,,37.2468494500,127.4774503000
파주시,감사교육원,경기도 파주시 광탄면 기산로 207-160,경기도 파주시 광탄면 기산리 산139-14번지,37.7811177100,126.9318177000
파주시,파주스타디움 보조경기장,경기도 파주시 중앙로 160,경기도 파주시 금릉동 186-5,37.7561272100,126.7864964000
파주시,운정건강공원,경기도 파주시 와석순환로172번길 35,경기도 파주시 동패동 1800,37.7154796600,126.7419906000
파주시,김포파주간 고속국도 건설현장,경기도 파주시 방화리길 82-40,,37.7436263600,126.7004406000
평택시,모곡근린공원,경기도 평택시 산단로52번길 21,경기도 평택시 모곡동 444번지,37.0353954300,127.0758365000
평택시,서탄초등학교,경기도 평택시 서탄면 금암2길 121,경기도 평택시 서탄면 금암리 233-1번지,37.1073878200,127.0361338000
평택시,안중레포츠공원(축구장),,경기도 평택시 안중읍 학현리 산92-6,36.9932389300,126.9167673000
평택시,이충레포츠공원,경기도 평택시 장안웃길 149,경기도 평택시 이충동 700번지,37.0660526200,127.0707164000
평택시,진위하수종말처리장,,경기도 평택시 진위면 견산리 342-6,37.1044789700,127.0688392000
평택시,평택서부공설운동장,경기도 평택시 청북읍 서해로 1528-18,경기도 평택시 청북읍 후사리 265-1번지,37.0305474800,126.9432255000
평택시,추팔어린이공원,,경기도 평택시 팽성읍 추팔리 396-2,36.9575008500,127.0779754000
평택시,평택 해경전용부두,,경기도 평택시 포승읍 만호리 706,36.9432982800,126.8579769000
평택시,평택 해군2함대사(N234),,경기도 평택시 포승읍 원정리 1315,36.9974826100,126.8015045000
평택시,평택 삼성전자,,경기도 평택시 고덕동 1696번지,37.0414630000,127.0610850000
평택시,소사벌레포츠타운,경기도 평택시 평남로 616,경기도 평택시 합정동 392번지,36.9883292600,127.1093151000
평택시,평택제천고속도로 평택휴게소(평택방향),경기도 평택시 청북읍 평택제천고속도로 6,,37.0439186800,126.9427077000
평택시,LG전자디지털파크,경기도 평택시 진위면 엘지로 222,,37.1290338200,127.0916202000
포천시,관인하수종말처리장,경기도 포천시 관인면 창동로 1931,경기도 포천시 관인면 탄동리 920번지,38.1623108100,127.2564254000
포천시,소흘생활체육공원,경기도 포천시 소흘읍 태봉로63번길 91,경기도 포천시 소흘읍 이동교리 산1,37.8242633700,127.1255167000
포천시,영북중학교,,경기도 포천시 영북면 운천리 385-1,38.0936402000,127.2776603000

